@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
3.024,37.0,34.0,1,11.27889,228.0,0.42433,0.52469,1.336262293,0.6098940946,9,48.1,36430.333333333336,6,yes
2.65,18.0,17.0,0,0.99202,675.0,0.57291,0.32628,2.527334382,-0.3783461165,18,41.11,318965.8181818182,7,yes
2.397,15.0,15.0,0,0.42204,828.0,0.91139,0.65138,2.488282895,-0.8247404962,19,34.83,250321.07142857142,5,yes
1.136,2.0,7.0,0,3.45888,340.0,0.16474,0.41578,3.503451494,0.000001,1,64.62,2917.0,0,yes
1.557,9.0,13.0,0,2.01435,211.0,0.99892,0.77849,2.562425897,-0.2717554808,10,39.03,27207.0,1,yes
1.819,23.0,11.0,0,0.80018,417.0,0.97598,0.8141,1.850939007,-0.0458352466,2,40.81,87587.5,0,yes
3.93,50.0,25.0,1,0.55597,711.0,0.66817,0.13373,1.042490883,-1.7471967784,11,35.81,146870.18181818182,0,yes
2.461,50.0,36.0,0,4.41141,442.0,0.000001,0.000001,1.004838659,0.2332786257,10,51.69,44168.666666666664,7,yes
2.691,41.0,38.0,0,8.25887,423.0,0.13281,0.25831,1.651606837,-1.2989238009,10,52.04,38433.25,2,yes
2.7,40.0,15.0,0,3.8691,555.0,0.29611,0.11101,0.697186609,1.1372057223,4,41.49,31733.666666666668,1,yes
0.895,7.0,5.0,0,3.05146,860.0,0.93215,0.74954,2.490900292,-0.1853912816,4,49.13,26742.0,2,yes
0.767,14.0,10.0,0,0.000001,0.000001,0.08226,0.1374,0.427722636,0.6173737742,4,54.69,3055.0,0,yes
1.2,18.0,17.0,1,8.08967,218.0,0.000001,0.000001,0.104941461,0.154398214,3,47.55,14643.5,1,yes
5.558,96.0,7.0,1,5.44815,678.0,0.000001,0.000001,0.000001,0.000001,5,51.53,227808.5,6,yes
5.264,25.0,43.0,0,6.69934,295.0,0.19798,0.11117,4.714052438,0.000001,3,0.000001,58676.0,0,yes
3.77,60.0,36.0,1,21.51496,267.0,0.14525,0.10386,2.310684941,-1.1409542408,15,50.3,35337.8,10,yes
4.489,54.0,38.0,1,0.02849,995.0,0.97673,0.22976,1.459193557,-1.3632732893,18,37.02,395766.5714285714,11,yes
1.115,9.0,9.0,1,0.24351,591.0,0.60686,0.86458,1.45333172,-0.0494742139,22,34.92,24300.285714285714,1,yes
2.123,24.0,21.0,0,4.31448,177.0,0.41916,0.22685,1.389547694,-1.1113609195,10,38.87,98589.71428571429,3,yes
3.495,58.0,25.0,0,0.19123,936.0,0.000001,0.000001,1.110971845,0.7862693434,6,36.36,50004.5,4,yes
2.861,29.0,22.0,0,0.70247,847.0,0.16462,0.18467,1.983813754,-1.2859333734,7,37.74,131024.5,3,yes
2.326,29.0,29.0,0,18.28532,402.0,0.36881,0.36793,1.851355191,0.000001,2,53.58,9884.0,0,yes
1.856,24.0,12.0,1,0.48041,436.0,0.8509,0.42299,1.317980608,-0.5565370434,18,38.57,131671.92307692306,5,yes
0.48,0.0,3.0,1,8.11122,132.0,0.69728,0.32162,0.000001,0.1232582101,8,39.71,16056.0,5,yes
0.48,2.0,4.0,0,3.23571,599.0,0.000001,0.000001,0.000001,0.0350720539,15,47.09,8431.4,10,yes
0.304,1.0,1.0,0,5.27029,280.0,0.000001,0.000001,0.000001,0.1232582101,6,42.59,7681.5,4,yes
1.255,6.0,4.0,0,2.40943,554.0,0.10157,0.22628,3.377640125,0.000001,1,59.44,2954.0,0,yes
1.416,8.0,12.0,1,13.70748,203.0,0.98629,0.45051,2.968833889,-0.4719929046,5,57.55,11628.5,1,yes
1.331,1.0,3.0,0,0.10248,1198.0,0.41352,0.15395,4.083667537,0.000001,1,47.75,8718.0,0,yes
0.865,12.0,5.0,1,4.28438,615.0,0.2398,0.14506,0.000001,-0.1394785526,4,39.94,8004.75,0,yes
4.515,23.0,46.0,0,1.53586,825.0,0.44258,0.47751,5.334038957,-2.4124935308,1,40.51,439889.0,0,yes
4.455,48.0,35.0,0,1.09137,922.0,0.37855,0.47307,4.240017283,-1.4550912085,12,42.05,384352.5,6,yes
4.623,73.0,41.0,1,9.49599,212.0,0.11725,0.19531,-0.881102681,0.466523353,16,52.45,37303.0,5,yes
3.284,71.0,56.0,0,6.7434,219.0,0.09251,0.12826,0.000428722,0.8854361119,15,54.29,22823.333333333332,9,yes
1.282,12.0,21.0,0,1.06522,480.0,0.35834,0.35026,2.642899462,-0.8467877142,5,56.12,83875.4,0,yes
0.588,10.0,12.0,0,6.49939,209.0,0.25348,0.20681,0.310446223,-0.0494742139,19,49.14,44745.529411764706,2,yes
1.927,27.0,10.0,0,8.19418,332.0,0.46386,0.16229,2.149785513,-0.6226769456,10,67.15,2653.6,0,yes
1.691,27.0,9.0,0,3.76343,436.0,0.29842,0.53995,1.043946836,-0.6685906502,14,40.36,39253.333333333336,8,yes
1.635,25.0,22.0,0,2.28047,813.0,0.33586,0.3667,0.243047892,-0.7090454031,3,42.12,55124.5,1,yes
1.242,12.0,7.0,0,9.23085,239.0,0.57821,0.52666,2.464182236,0.3271310692,3,56.28,4836.0,1,yes
