Gene,ISPP_AD,ISPP_AR,ISPP_XL,ISPP_PAE,HI,REC,CONS,RVIS,NET,GDI
OR1J4,0.0,0.010465906071457911,*,0.0,0.000001,0.000001,-1.916688501,-0.381986487,0.11532641584683,40.37985
NR2E3,0.13567794059932425,0.08644690007814618,*,0.08503338591915059,0.64613,0.52323,-1.229631345,0.000001,0.986047944103055,*
NR2E1,0.012593052373944836,0.006290842436167322,*,0.0,0.6581,0.11906,2.939963705,-0.2515300117,0.993196212986324,12.0367
CTNNBL1,0.033556292742473695,0.10884490640060356,*,0.08479929844208178,0.20271,0.2152,1.815306867,-0.7567782586,0.842603154313498,1617.71639
NLRC5,0.02898382854298638,0.05363911829108735,*,0.03673826763339436,0.07927,0.08967,1.584930953,0.5142793378,0.277453512180342,898.09245
NLRC4,0.718353740064533,0.09173869360137636,*,0.690131070567497,0.12366,0.32056,1.510944883,-0.5951748137,0.522559833126799,68.31876
NUDCD3,0.0,0.012896992704992167,*,0.03182034974346426,0.16646,0.10559,0.252087523,-0.0256086474,0.993273010079357,1744.96605
NLRC3,0.0063636362187365625,0.015701545404313018,*,0.0,0.14525,0.11201,-0.275203097,0.000001,*,*
NUDCD2,0.0,0.0,*,0.0,0.31509,0.11809,-0.053917185,-0.3397150076,0.507941756390889,2.40691
GALR1,0.01571035316348898,0.06261466811203519,*,0.00839073179080528,0.09235,0.18135,1.536429596,0.2628100446,0.393502152758821,421.27663
ATG5,0.0,0.04061666460192641,*,0.020552153113237232,0.36057,0.1705,1.779864844,0.1030302309,0.741366319538048,64.05281
NUDCD1,0.0,0.05201833479131664,*,0.0,0.19623,0.08363,1.051962184,0.9517204294,0.9328100209326,3244.62786
GALR3,0.025362751618671138,0.009440689322651614,*,0.04807570043996076,0.58078,0.13785,2.017754196,0.000001,0.259287737188602,221.3043
ATG7,0.041635964534808376,0.14147021341034152,*,0.04836029063771798,0.10213,0.17266,0.664362675,-0.5106243717,0.447698391246596,346.12918
GALR2,0.03167791782782129,0.07507315334800331,*,0.07796402342969445,0.13007,0.15927,3.130207574,1.1722067615,0.215030402303892,381.76733
SPATA25,0.02829624291117823,0.006329377843094418,*,0.006330929771251676,0.000001,0.000001,0.191477903,0.9940010917,0.114371359811310,339.72468
SPATA21,0.0,0.0,*,0.021941309632005742,0.000001,0.000001,0.120483589,1.3117728841,0.0664767659086445,1596.30935
SPATA22,0.0,0.031147598714799232,*,0.0,0.12269,0.08105,0.104911803,1.0178651001,0.137687631750197,524.1868
SPATA24,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.4796421051,0.230912229909725,3874.2515
NET1,0.028596482459102665,0.05601855639290852,*,0.0524395152645609,0.000001,0.000001,0.3094171,0.000001,0.91375820083242,228.80755
BCL10,0.030134815339904274,0.6928671634150156,*,0.6549440738434759,0.75946,0.26603,1.112924178,0.2812202784,0.895326996261376,749.70865
OR1K1,0.0,0.0,*,0.0,0.000001,0.000001,-1.832389775,-0.2442495952,0.128138715588496,262.8572
B3GNTL1,0.0,0.06372636805177816,*,0.0,0.15779,0.10445,-0.020082373,0.1139450489,0.48523221074807,2466.85643
FADD,0.028153848555636157,0.6569262285198993,*,0.719217990646252,0.06427,0.50068,1.386765067,0.0589374977,0.582478727649813,5.23001
IL11RA,0.006280214632178799,0.6264996932497771,*,0.0,0.45286,0.08769,1.254907966,-0.0035625971,0.00120898013157628,88.49963
SKOR1,0.0,0.04156618982105613,*,0.0,0.08309,0.1127,3.593676351,0.000001,0.114371359811310,286.51918
SKOR2,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.000001,0.114371359811310,2129.889
ZFP69B,0.006325443833864654,0.006335250915584066,*,0.006314491619963807,0.000001,0.000001,0.000001,1.1096936803,*,1480.59123
SPATA18,0.0,0.012534559953745134,*,0.0,0.18979,0.07948,-0.095471128,0.1139450489,0.0370560179030508,240.479
SPATA19,0.0,0.0,*,0.0,0.06185,0.07931,0.000001,-0.0512938299,0.189097781833791,4013.40317
SPATA16,0.0,0.6427415120283247,*,0.01899867521522643,0.000001,0.000001,0.400309511,1.7325524144,9.57588755966153e-10,5978.92356
SPATA17,0.006365069980145931,0.021877131947927564,*,0.012845581384644207,0.03924,0.0882,-2.021831694,-0.1340192842,0.0340003548697153,361.81101
NEU1,0.018673325951114497,0.6526871036239628,*,0.028531845995185053,0.000001,0.000001,2.617983028,-0.227663163,0.999446398724164,212.23656
SPATA12,0.006342650904736593,0.02743039391003817,*,0.0,0.000001,0.000001,0.000001,-0.1174323893,0.155065596577678,36.59213
NEU3,0.01058014820150771,0.09530172919238313,*,0.06770985978343243,0.30742,0.30362,-0.850912736,-0.1340192842,0.655011544017972,322.31299
NEU2,0.012628913268158194,0.0,*,0.042891846206210366,0.13477,0.3549,-0.009905868,0.1323521652,0.88259416950753,508.10281
SPATA13,0.0,0.03415220114332729,*,0.006310660089414436,0.28685,0.1118,0.002172398,2.0081424517,0.213646701056946,1024.01032
NEU4,0.025403275070395918,0.09951327184259347,*,0.09121043105481215,0.16791,0.22163,0.814400525,0.000001,0.98646599179095,445.2511
ARHGDIG,0.0,0.01755982843054185,*,0.009440754355116834,0.1472,0.12238,0.14777497,-0.1597046563,0.849961679996201,22.62314
TFE3,0.009412710434208821,0.012696620112182581,0.16214357908193786,0.06460787474888897,0.60298,0.2417,2.256563715,0.505321956,0.170478780106384,43.40948
TFEB,0.04506542926975319,0.1069312471234798,*,0.018957908006385575,0.30823,0.17188,1.583181873,-0.6024505683,0.179029983720271,119.104
ST8SIA1,0.0,0.03891539713015012,*,0.006324696361863832,0.16187,0.14714,1.150904094,0.106667882,0.213367770340918,29.99859
ST8SIA3,0.02509471101071213,0.0,*,0.0,0.47947,0.10656,2.086260737,-0.2938016524,0.476119481332101,2541.39756
ST8SIA2,0.0,0.04535393173043015,*,0.05605025263940796,0.39163,0.2681,0.625768644,-0.4242585377,0.802171008325744,71.81909
